\\Hourly Demand Report,,,,,,
\\Created at 2023-12-22 07:30:07,,,,,,
\\For 2023,,,,,,
Date,Hour,ENGY_ON_D,Gas_Total,Hydro,Wind,Nuclear
19-12-2023,1,14934,,,,
19-12-2023,2,14639,,,,
19-12-2023,3,14434,,,,
19-12-2023,4,14426,,,,
19-12-2023,5,14490,,,,
19-12-2023,6,15085,,,,
19-12-2023,7,16376,,,,
19-12-2023,8,17959,,,,
19-12-2023,9,18456,,,,
19-12-2023,10,18647,,,,
19-12-2023,11,18620,,,,
19-12-2023,12,18284,,,,
19-12-2023,13,17844,,,,
19-12-2023,14,17623,,,,
19-12-2023,15,17631,,,,
19-12-2023,16,18165,,,,
19-12-2023,17,19035,,,,
19-12-2023,18,19717,,,,
19-12-2023,19,19324,,,,
19-12-2023,20,19138,,,,
19-12-2023,21,18789,,,,
19-12-2023,22,18006,,,,
19-12-2023,23,17086,,,,
19-12-2023,24,15942,1710,4150,3217,9892
20-12-2023,1,15219,1304,4090,3145,9897
20-12-2023,2,14693,1279,3874,3011,9890
20-12-2023,3,14607,1442,3906,2844,9886
20-12-2023,4,14510,1767,3582,2566,9895
20-12-2023,5,14720,2212,3783,2435,9894
20-12-2023,6,15194,2772,3851,2295,9896
20-12-2023,7,16442,3257,4384,2147,9895
20-12-2023,8,17962,4200,4671,2022,9895
20-12-2023,9,18356,4528,4902,1779,9889
20-12-2023,10,18335,4382,4952,1219,9885
20-12-2023,11,18192,4571,4829,928,9893
20-12-2023,12,17936,4649,4529,622,9900
20-12-2023,13,17472,4361,4682,413,9900
20-12-2023,14,17901,4446,4766,254,9895
20-12-2023,15,18043,4392,4834,201,9899
20-12-2023,16,18348,4729,5099,218,9898
20-12-2023,17,19038,4695,5227,240,9922
20-12-2023,18,19452,4828,5279,295,9910
20-12-2023,19,19224,5063,5263,308,9914
20-12-2023,20,18806,4992,5305,349,9918
20-12-2023,21,18485,5128,5107,495,9918
20-12-2023,22,17746,4989,4626,604,9916
20-12-2023,23,16752,4382,4334,636,9912
20-12-2023,24,15706,3307,4303,756,9917
21-12-2023,1,15117,2852,4175,870,9919
21-12-2023,2,14505,2269,3837,968,9920
21-12-2023,3,14258,2230,3836,1185,9918
21-12-2023,4,14174,2443,3563,1309,9918
21-12-2023,5,14426,2709,3822,1436,9927
21-12-2023,6,14991,3011,3877,1542,9923
21-12-2023,7,16232,3542,4539,1684,9921
21-12-2023,8,17586,4024,4944,1882,9921
21-12-2023,9,18000,4216,4929,2022,9917
21-12-2023,10,17656,3812,4826,2137,9913
21-12-2023,11,17275,3291,4708,2108,9908
21-12-2023,12,17054,3133,4387,2041,9891
21-12-2023,13,16866,3131,4300,2002,9886
21-12-2023,14,17070,3243,4612,1885,9793
21-12-2023,15,17395,3338,4628,1766,9638
21-12-2023,16,17959,3783,5244,1696,9569
21-12-2023,17,18817,4214,5662,1754,9537
21-12-2023,18,19625,4445,5627,1723,9534
21-12-2023,19,19359,4670,5614,1650,9542
21-12-2023,20,19224,5092,5299,1656,9550
21-12-2023,21,19005,5494,5050,1675,9536
21-12-2023,22,18430,5187,4560,1647,9540
21-12-2023,23,17323,4486,4229,1629,9533
21-12-2023,24,16201,3728,4187,1544,9567
22-12-2023,1,15506,3383,4094,1323,9565
22-12-2023,2,15115,3313,3926,1263,9575
22-12-2023,3,14923,3151,3868,1283,9580
22-12-2023,4,14814,2986,3892,1234,9588
22-12-2023,5,15010,3087,3920,1072,9599
22-12-2023,6,15461,3721,4034,978,9601
22-12-2023,7,16490,4011,4539,943,9606
22-12-2023,8,17748,4610,5106,983,9605
22-12-2023,9,18173,4885,5223,926,9600
22-12-2023,10,18198,5370,5111,827,9607
22-12-2023,11,18078,5392,5046,819,9605
22-12-2023,12,17956,5372,5149,736,9597
22-12-2023,13,17758,5251,5136,605,9600
22-12-2023,14,17725,5415,4969,612,9602
22-12-2023,15,17668,5274,5035,716,9605
22-12-2023,16,17933,4964,5275,683,9686
22-12-2023,17,18467,5165,5420,843,9700
22-12-2023,18,18941,5097,5381,956,9701
22-12-2023,19,18543,5251,5256,1048,9704
22-12-2023,20,18138,5194,5223,1166,9702
22-12-2023,21,17819,5134,5286,1203,9704
22-12-2023,22,17209,4712,4611,1120,9703
22-12-2023,23,16256,4184,4412,1066,9714
22-12-2023,24,15297,3198,4387,957,9716
23-12-2023,1,14681,2485,4380,818,9712
23-12-2023,2,14224,2288,4188,736,9718
23-12-2023,3,13891,1720,4030,761,9716
23-12-2023,4,13731,1567,4033,788,9717
23-12-2023,5,13872,1731,4037,935,9705
23-12-2023,6,13989,1874,3725,1236,9706
23-12-2023,7,14457,2239,3547,1361,9715
23-12-2023,8,15187,2252,4207,1381,9708
23-12-2023,9,15867,2719,4643,1306,9711
23-12-2023,10,16600,3688,4627,1181,9711
23-12-2023,11,17050,4252,4500,1041,9709
23-12-2023,12,17404,4351,4635,976,9708
23-12-2023,13,17488,4319,4789,762,9704
23-12-2023,14,17444,4175,4697,540,9706
23-12-2023,15,17365,4116,4925,374,9703
23-12-2023,16,17365,4140,5165,263,9708
23-12-2023,17,17730,4101,5351,201,9710
23-12-2023,18,18051,4142,5291,185,9713
23-12-2023,19,17591,3999,5280,190,9706
23-12-2023,20,17189,3875,5111,243,9705
23-12-2023,21,16719,3746,5060,270,9707
23-12-2023,22,16184,4013,4531,256,9703
23-12-2023,23,15328,3283,4348,203,9710
23-12-2023,24,14558,2566,4068,189,9712
24-12-2023,1,13907,2117,4042,197,9706
24-12-2023,2,13455,1592,4098,167,9712
24-12-2023,3,13224,1633,3974,170,9706
24-12-2023,4,13006,1099,3953,167,9707
24-12-2023,5,12997,1033,3885,181,9707
24-12-2023,6,13164,1235,4025,187,9701
24-12-2023,7,13612,1592,4200,205,9704
24-12-2023,8,14440,1840,4623,292,9704
24-12-2023,9,15209,1796,4810,351,9701
24-12-2023,10,15817,2357,4752,448,9699
24-12-2023,11,16151,2787,4752,490,9702
24-12-2023,12,16658,3167,4966,424,9707
24-12-2023,13,16823,3308,5003,449,9710
24-12-2023,14,16664,3274,4668,446,9707
24-12-2023,15,16661,3122,4762,417,9700
24-12-2023,16,16780,3039,4739,465,9703
24-12-2023,17,16935,2828,4921,557,9704
24-12-2023,18,16877,2447,5173,691,9702
24-12-2023,19,16296,2370,5200,846,9705
24-12-2023,20,15764,2370,5162,1015,9702
24-12-2023,21,15426,2325,4883,1101,9696
24-12-2023,22,14935,1804,4588,1235,9700
24-12-2023,23,14378,1603,4298,1266,9701
24-12-2023,24,13767,1095,4148,1256,9701
25-12-2023,1,13103,976,3578,1253,9701
25-12-2023,2,12819,819,3552,1097,9702
25-12-2023,3,12552,397,3665,1163,9698
25-12-2023,4,12560,174,3596,1117,9700
25-12-2023,5,12648,341,3121,1270,9703
25-12-2023,6,12756,535,3068,1399,9702
25-12-2023,7,13099,586,3271,1553,9702
25-12-2023,8,13690,551,3409,1757,9704
25-12-2023,9,14250,551,3995,1822,9703
25-12-2023,10,14733,666,4255,1770,9700
25-12-2023,11,15089,933,4592,1572,9696
25-12-2023,12,15261,1263,4547,1429,9703
25-12-2023,13,15067,1235,4510,1253,9707
25-12-2023,14,15054,1204,4486,1145,9680
25-12-2023,15,15329,1477,4518,1212,9697
25-12-2023,16,15541,1469,4624,1459,9705
25-12-2023,17,15769,1266,5117,1803,9708
25-12-2023,18,15795,1175,5068,2120,9701
25-12-2023,19,15174,1178,4217,2383,9706
25-12-2023,20,14816,1177,3829,2553,9703
25-12-2023,21,14641,786,3800,2603,9703
25-12-2023,22,14376,556,4075,2558,9701
25-12-2023,23,13773,557,3836,2567,9705
25-12-2023,24,13185,556,3515,2364,9707
26-12-2023,1,12831,237,3768,2165,9710
26-12-2023,2,12490,139,3444,2154,9705
26-12-2023,3,12117,252,3122,2259,9703
26-12-2023,4,12029,452,2737,2376,9694
26-12-2023,5,12106,772,2798,2370,9698
26-12-2023,6,12509,1178,2968,2214,9705
26-12-2023,7,13050,1533,3208,2000,9710
26-12-2023,8,13548,1606,3921,1821,9700
26-12-2023,9,13996,1613,4273,1663,9705
26-12-2023,10,14353,1625,4137,1509,9696
26-12-2023,11,14637,1665,4592,1260,9696
26-12-2023,12,15082,1972,4661,1025,9699
26-12-2023,13,15231,2452,4629,834,9697
26-12-2023,14,15214,2619,4570,642,9737
26-12-2023,15,15231,2612,4670,574,9798
26-12-2023,16,15407,2879,5103,487,9796
26-12-2023,17,15967,3355,5291,566,9794
26-12-2023,18,16333,3422,5482,630,9796
26-12-2023,19,16124,3378,5311,565,9792
26-12-2023,20,15841,3109,5101,545,9796
26-12-2023,21,15472,3043,4713,634,9799
26-12-2023,22,15001,3008,4430,643,9791
26-12-2023,23,14223,2455,4195,617,9760
26-12-2023,24,13453,2094,3780,570,9762
