time,open,high,low,close,Volume,Volume MA
2023-12-07T15:55:00-05:00,2.445,2.448,2.445,2.447,50,63.2
2023-12-07T16:00:00-05:00,2.446,2.45,2.445,2.449,20,54.5
2023-12-07T16:05:00-05:00,2.448,2.451,2.448,2.448,14,37.5
2023-12-07T16:10:00-05:00,2.447,2.447,2.443,2.444,32,32
2023-12-07T16:15:00-05:00,2.445,2.448,2.445,2.447,30,30.5
2023-12-07T16:20:00-05:00,2.446,2.448,2.445,2.445,34,30.6
2023-12-07T16:25:00-05:00,2.446,2.446,2.44,2.44,26,30
2023-12-07T16:30:00-05:00,2.441,2.442,2.439,2.439,30,30.7
2023-12-07T16:35:00-05:00,2.44,2.442,2.438,2.442,22,31
2023-12-07T16:40:00-05:00,2.441,2.443,2.44,2.441,18,30.4
2023-12-07T16:45:00-05:00,2.44,2.441,2.437,2.439,20,28.8
2023-12-07T16:50:00-05:00,2.438,2.438,2.432,2.436,36,28.8
2023-12-07T16:55:00-05:00,2.437,2.438,2.436,2.438,8,26.4
2023-12-07T18:00:00-05:00,2.441,2.455,2.441,2.455,34,25.1
2023-12-07T18:05:00-05:00,2.456,2.457,2.453,2.453,10,24.3
2023-12-07T18:10:00-05:00,2.454,2.454,2.452,2.452,6,23.6
2023-12-07T18:15:00-05:00,2.453,2.457,2.453,2.456,22,23.9
2023-12-07T18:20:00-05:00,2.455,2.457,2.455,2.457,10,24.3
2023-12-07T18:25:00-05:00,2.458,2.461,2.458,2.459,20,24.4
2023-12-07T18:30:00-05:00,2.458,2.459,2.458,2.459,4,22.3
2023-12-07T18:35:00-05:00,2.458,2.458,2.455,2.455,8,20.2
2023-12-07T18:40:00-05:00,2.456,2.456,2.455,2.455,4,19.4
2023-12-07T18:45:00-05:00,2.453,2.453,2.453,2.453,2,18.8
2023-12-07T18:50:00-05:00,2.452,2.452,2.452,2.452,2,17.3
2023-12-07T18:55:00-05:00,2.45,2.45,2.45,2.45,2,15.9
2023-12-07T19:00:00-05:00,2.451,2.451,2.446,2.448,28,15.6
2023-12-07T19:05:00-05:00,2.447,2.449,2.446,2.448,26,15.6
2023-12-07T19:10:00-05:00,2.451,2.452,2.449,2.45,40,16.1
2023-12-07T19:15:00-05:00,2.449,2.45,2.448,2.449,10,15.5
2023-12-07T19:20:00-05:00,2.45,2.45,2.45,2.45,2,14.7
2023-12-07T19:25:00-05:00,2.449,2.449,2.449,2.449,2,13.8
2023-12-07T19:30:00-05:00,2.453,2.454,2.453,2.453,6,12.3
2023-12-07T19:35:00-05:00,2.454,2.454,2.452,2.453,6,12.2
2023-12-07T19:40:00-05:00,2.452,2.454,2.452,2.454,6,10.8
2023-12-07T19:45:00-05:00,2.453,2.461,2.453,2.458,40,12.3
2023-12-07T19:50:00-05:00,2.457,2.458,2.457,2.457,6,12.3
2023-12-07T19:55:00-05:00,2.456,2.457,2.456,2.457,12,11.8
2023-12-07T20:00:00-05:00,2.458,2.46,2.456,2.459,24,12.5
2023-12-07T20:05:00-05:00,2.458,2.459,2.457,2.457,16,12.3
2023-12-07T20:10:00-05:00,2.458,2.458,2.455,2.455,12,12.7
2023-12-07T20:15:00-05:00,2.456,2.456,2.456,2.456,2,12.4
2023-12-07T20:25:00-05:00,2.454,2.456,2.454,2.454,16,13
2023-12-07T20:30:00-05:00,2.455,2.455,2.455,2.455,2,13
2023-12-07T20:35:00-05:00,2.456,2.461,2.456,2.461,14,13.6
2023-12-07T20:40:00-05:00,2.462,2.463,2.461,2.461,16,14.3
2023-12-07T20:45:00-05:00,2.462,2.462,2.461,2.462,6,13.2
2023-12-07T20:50:00-05:00,2.463,2.467,2.463,2.467,14,12.6
2023-12-07T20:55:00-05:00,2.466,2.467,2.466,2.467,8,11
2023-12-07T21:00:00-05:00,2.466,2.466,2.464,2.465,8,10.9
2023-12-07T21:05:00-05:00,2.466,2.467,2.466,2.467,4,11
2023-12-07T21:10:00-05:00,2.466,2.467,2.466,2.467,8,11.3
2023-12-07T21:15:00-05:00,2.466,2.467,2.466,2.466,10,11.5
2023-12-07T21:20:00-05:00,2.467,2.467,2.465,2.466,12,11.8
2023-12-07T21:25:00-05:00,2.467,2.467,2.467,2.467,2,11.6
2023-12-07T21:30:00-05:00,2.468,2.469,2.468,2.469,8,10
2023-12-07T21:35:00-05:00,2.468,2.469,2.468,2.469,8,10.1
2023-12-07T21:40:00-05:00,2.468,2.469,2.468,2.469,12,10.1
2023-12-07T21:45:00-05:00,2.47,2.472,2.468,2.469,14,9.6
2023-12-07T21:50:00-05:00,2.468,2.468,2.468,2.468,2,8.9
2023-12-07T21:55:00-05:00,2.467,2.468,2.467,2.468,8,8.7
2023-12-07T22:00:00-05:00,2.467,2.468,2.465,2.465,10,9.1
2023-12-07T22:05:00-05:00,2.466,2.467,2.465,2.467,8,8.7
2023-12-07T22:10:00-05:00,2.468,2.472,2.468,2.472,10,9.1
2023-12-07T22:15:00-05:00,2.473,2.474,2.472,2.472,12,9
2023-12-07T22:25:00-05:00,2.473,2.474,2.473,2.473,6,8.5
2023-12-07T22:30:00-05:00,2.472,2.472,2.472,2.472,2,8.3
2023-12-07T22:35:00-05:00,2.471,2.472,2.469,2.471,38,9.5
2023-12-07T22:40:00-05:00,2.47,2.471,2.47,2.471,12,9.7
2023-12-07T22:45:00-05:00,2.472,2.472,2.471,2.471,4,9.5
2023-12-07T22:50:00-05:00,2.472,2.472,2.471,2.471,4,9.5
2023-12-07T22:55:00-05:00,2.472,2.473,2.472,2.473,4,9.3
2023-12-07T23:00:00-05:00,2.474,2.474,2.473,2.473,4,9
2023-12-07T23:05:00-05:00,2.474,2.474,2.473,2.474,14,9.1
2023-12-07T23:10:00-05:00,2.475,2.476,2.472,2.474,20,10
2023-12-07T23:15:00-05:00,2.475,2.477,2.474,2.476,24,10.8
2023-12-07T23:20:00-05:00,2.472,2.474,2.472,2.474,10,10.9
2023-12-07T23:25:00-05:00,2.473,2.474,2.473,2.474,12,10.9
2023-12-07T23:30:00-05:00,2.477,2.479,2.477,2.477,22,11.3
2023-12-07T23:35:00-05:00,2.476,2.476,2.473,2.473,8,11.6
2023-12-07T23:40:00-05:00,2.472,2.473,2.472,2.473,20,12.2
2023-12-07T23:45:00-05:00,2.472,2.473,2.472,2.473,8,12.1
2023-12-07T23:50:00-05:00,2.474,2.474,2.473,2.473,4,11.9
2023-12-07T23:55:00-05:00,2.474,2.475,2.473,2.475,8,11.8
2023-12-08T00:00:00-05:00,2.474,2.474,2.472,2.473,8,11.6
2023-12-08T00:10:00-05:00,2.474,2.474,2.472,2.473,8,11.7
2023-12-08T00:15:00-05:00,2.472,2.472,2.472,2.472,2,11.7
2023-12-08T00:25:00-05:00,2.473,2.479,2.473,2.476,22,10.9
2023-12-08T00:30:00-05:00,2.477,2.477,2.473,2.473,10,10.8
2023-12-08T00:35:00-05:00,2.474,2.477,2.474,2.477,12,11.2
2023-12-08T00:40:00-05:00,2.476,2.478,2.474,2.478,16,11.8
2023-12-08T00:45:00-05:00,2.477,2.478,2.476,2.477,14,12.3
2023-12-08T00:50:00-05:00,2.478,2.479,2.475,2.475,18,13
2023-12-08T00:55:00-05:00,2.474,2.478,2.474,2.478,10,12.8
2023-12-08T01:00:00-05:00,2.477,2.477,2.473,2.474,14,12.5
2023-12-08T01:05:00-05:00,2.475,2.475,2.474,2.474,8,11.7
2023-12-08T01:10:00-05:00,2.475,2.476,2.475,2.476,4,11.4
2023-12-08T01:15:00-05:00,2.474,2.476,2.472,2.473,26,12.1
2023-12-08T01:20:00-05:00,2.476,2.476,2.471,2.472,10,11.5
2023-12-08T01:25:00-05:00,2.473,2.479,2.472,2.475,38,13
2023-12-08T01:30:00-05:00,2.474,2.477,2.474,2.477,6,12.3
2023-12-08T01:35:00-05:00,2.478,2.478,2.475,2.475,8,12.3
2023-12-08T01:40:00-05:00,2.476,2.476,2.475,2.476,22,13.2
2023-12-08T01:45:00-05:00,2.475,2.476,2.471,2.471,24,14
2023-12-08T01:50:00-05:00,2.472,2.475,2.47,2.474,46,15.9
2023-12-08T01:55:00-05:00,2.473,2.477,2.472,2.477,26,16.8
2023-12-08T02:00:00-05:00,2.476,2.484,2.475,2.482,40,18.7
2023-12-08T02:05:00-05:00,2.481,2.481,2.476,2.479,18,18.5
2023-12-08T02:10:00-05:00,2.478,2.487,2.478,2.486,48,20.4
2023-12-08T02:15:00-05:00,2.487,2.489,2.485,2.488,26,21.1
2023-12-08T02:20:00-05:00,2.489,2.489,2.482,2.484,40,22.3
2023-12-08T02:25:00-05:00,2.485,2.485,2.473,2.473,32,23.2
2023-12-08T02:30:00-05:00,2.474,2.475,2.468,2.47,32,23.9
2023-12-08T02:35:00-05:00,2.469,2.469,2.46,2.461,42,25.5
2023-12-08T02:40:00-05:00,2.464,2.468,2.464,2.467,24,26
2023-12-08T02:45:00-05:00,2.468,2.473,2.468,2.47,32,27.2
2023-12-08T02:50:00-05:00,2.469,2.47,2.465,2.467,30,28.5
2023-12-08T02:55:00-05:00,2.468,2.47,2.466,2.467,30,28.7
2023-12-08T03:00:00-05:00,2.468,2.469,2.465,2.468,20,29.2
2023-12-08T03:05:00-05:00,2.469,2.47,2.462,2.463,28,28.7
2023-12-08T03:10:00-05:00,2.465,2.468,2.461,2.464,48,30.8
2023-12-08T03:15:00-05:00,2.465,2.47,2.463,2.47,58,33.3
2023-12-08T03:20:00-05:00,2.471,2.478,2.471,2.478,22,33.3
2023-12-08T03:25:00-05:00,2.477,2.478,2.477,2.478,12,32.7
2023-12-08T03:30:00-05:00,2.477,2.481,2.477,2.48,16,31.2
2023-12-08T03:35:00-05:00,2.477,2.483,2.477,2.481,32,31.5
2023-12-08T03:40:00-05:00,2.48,2.482,2.48,2.482,14,30.2
2023-12-08T03:45:00-05:00,2.48,2.481,2.48,2.481,20,30.3
2023-12-08T03:50:00-05:00,2.482,2.487,2.48,2.486,30,29.4
2023-12-08T03:55:00-05:00,2.485,2.485,2.483,2.484,30,29.6
2023-12-08T04:00:00-05:00,2.483,2.484,2.483,2.483,18,28.5
2023-12-08T04:05:00-05:00,2.484,2.484,2.479,2.482,20,27.9
2023-12-08T04:10:00-05:00,2.481,2.483,2.478,2.478,16,27.1
2023-12-08T04:15:00-05:00,2.48,2.482,2.478,2.48,16,25.8
2023-12-08T04:20:00-05:00,2.481,2.481,2.476,2.478,20,25.6
2023-12-08T04:25:00-05:00,2.477,2.477,2.472,2.475,28,25.4
2023-12-08T04:30:00-05:00,2.473,2.474,2.47,2.471,16,24.7
2023-12-08T04:35:00-05:00,2.47,2.471,2.469,2.469,12,23.8
2023-12-08T04:40:00-05:00,2.47,2.473,2.469,2.473,14,23.5
2023-12-08T04:45:00-05:00,2.471,2.472,2.471,2.471,14,22.8
2023-12-08T04:50:00-05:00,2.47,2.471,2.47,2.47,10,20.9
2023-12-08T04:55:00-05:00,2.469,2.473,2.468,2.473,12,18.6
2023-12-08T05:00:00-05:00,2.474,2.474,2.472,2.473,12,18.1
2023-12-08T05:05:00-05:00,2.472,2.474,2.472,2.473,16,18.3
2023-12-08T05:10:00-05:00,2.474,2.477,2.473,2.476,20,18.5
2023-12-08T05:15:00-05:00,2.475,2.479,2.475,2.479,14,17.6
2023-12-08T05:20:00-05:00,2.48,2.481,2.48,2.48,22,18
2023-12-08T05:25:00-05:00,2.481,2.481,2.477,2.478,42,19.1
2023-12-08T05:30:00-05:00,2.477,2.483,2.476,2.483,26,18.9
2023-12-08T05:35:00-05:00,2.484,2.484,2.482,2.483,32,19
2023-12-08T05:40:00-05:00,2.482,2.484,2.482,2.483,12,18.7
2023-12-08T05:45:00-05:00,2.484,2.487,2.484,2.485,24,18.9
2023-12-08T05:50:00-05:00,2.484,2.487,2.484,2.484,16,18.9
2023-12-08T05:55:00-05:00,2.485,2.49,2.484,2.49,24,19.3
2023-12-08T06:00:00-05:00,2.491,2.491,2.485,2.485,22,19.4
2023-12-08T06:05:00-05:00,2.487,2.49,2.487,2.487,16,18.8
